caff_unit,carb_unit,weight,fat_gm,caff_value,fat_value,pro_unit,carb_value,carb_gm,pro_gm,pro_value,measure,caff_gm,fat_unit,id
mg,g,28.35,6.0,0,1.70,g,13.55,47.8,9.5,2.69,1.0 oz,0.0,g,18027
mg,g,863.0,1.97,--,17.00,g,0.00,0.0,29.51,254.67,1.0 breast,--,g,05711
mg,g,128.0,48.0,0,61.44,g,33.33,26.04,16.96,21.71,1.0 cup,0.0,g,12529
mg,g,85.0,15.71,--,13.35,g,0.00,0.0,26.54,22.56,3.0 oz,--,g,10029
mg,g,85.0,11.73,--,9.97,g,0.00,0.0,25.73,21.87,3.0 oz,--,g,23549
mg,g,85.0,6.2,--,5.27,g,0.00,0.0,27.53,23.40,3.0 oz,--,g,13424
mg,g,30.4,3.36,0,1.02,g,2.18,7.17,1.44,0.44,1.0 fl oz,0.0,g,03988
mg,g,113.0,1.0,0,1.13,g,3.05,2.7,12.4,14.01,4.0 oz,0.0,g,43352
mg,g,250.0,0.18,0,0.45,g,55.38,22.15,1.2,3.00,"1.0 cup, halves",0.0,g,09033
mg,g,68.0,6.97,0,4.74,g,21.60,31.77,5.95,4.05,1.0 egg roll,0.0,g,22955
mg,g,137.0,51.45,0,70.49,g,34.73,25.35,17.3,23.70,1.0 cup,0.0,g,12635
mg,g,28.35,6.6,0,1.87,g,14.91,52.6,10.5,2.98,1.0 oz,0.0,g,18028
mg,g,85.0,2.33,--,1.98,g,0.00,0.0,23.34,19.84,3.0 oz,--,g,05710
mg,g,128.0,48.0,0,61.44,g,33.33,26.04,16.96,21.71,1.0 cup,0.0,g,12029
mg,g,85.0,14.35,--,12.20,g,0.00,0.0,23.72,20.16,3.0 oz,--,g,10030
mg,g,85.0,12.93,--,10.99,g,0.00,0.0,25.77,21.90,3.0 oz,--,g,23523
mg,g,85.0,3.95,--,3.36,g,0.00,0.0,21.07,17.91,3.0 oz,--,g,23651
mg,g,30.5,3.5,0,1.07,g,1.95,6.39,1.52,0.46,1.0 fl oz,0.0,g,03963
mg,g,113.0,1.0,0,1.13,g,3.39,3.0,10.9,12.32,4.0 oz,0.0,g,43396
mg,g,130.0,0.51,0,0.66,g,81.43,62.64,3.39,4.41,"1.0 cup, halves",0.0,g,09032
mg,g,60.0,0.0,--,0.00,g,1.20,2.0,10.0,6.00,0.25 cup,--,g,01226
mg,g,131.0,53.5,0,70.08,g,29.37,22.42,19.5,25.54,1.0 cup,0.0,g,12135
mg,g,28.35,2.42,0,0.69,g,14.71,51.88,10.75,3.05,1.0 oz,0.0,g,18029
mg,g,85.0,2.08,--,1.77,g,0.00,0.0,27.94,23.75,3.0 oz,--,g,05709
mg,g,144.0,49.67,0,71.52,g,33.77,23.45,17.73,25.53,1.0 cup,0.0,g,12023
mg,g,85.0,16.56,--,14.08,g,0.00,0.0,25.02,21.27,3.0 oz,--,g,10178
mg,g,85.0,9.99,--,8.49,g,0.00,0.0,25.67,21.82,3.0 oz,--,g,23525
mg,g,85.0,6.42,--,5.46,g,0.00,0.0,27.68,23.53,3.0 oz,--,g,13425
mg,g,106.0,3.5,0,3.71,g,7.53,7.1,1.38,1.46,1.0 serving 100 ml,0.0,g,03815
mg,g,113.0,2.27,0,2.57,g,5.38,4.76,10.45,11.81,4.0 oz,0.0,g,01015
mg,g,155.0,0.39,0,0.60,g,17.24,11.12,1.4,2.17,"1.0 cup, halves",0.0,g,09021
mg,g,9.9,13.0,0,1.29,g,2.16,21.8,55.5,5.49,0.35 oz,0.0,g,01144
mg,g,28.35,53.95,0,15.29,g,5.97,21.05,20.04,5.68,1.0 oz,0.0,g,12737
mg,g,28.35,2.14,0,0.61,g,17.56,61.93,13.0,3.69,1.0 oz,0.0,g,18030
mg,g,1171.0,2.53,--,29.63,g,0.00,0.0,21.99,257.50,1.0 breast,--,g,05708
mg,g,128.0,49.8,0,63.74,g,19.60,15.31,19.33,24.74,1.0 cup,0.0,g,12536
mg,g,85.0,11.29,--,9.60,g,0.00,0.0,28.02,23.82,3.0 oz,--,g,10033
mg,g,85.0,10.16,--,8.64,g,0.00,0.0,26.13,22.21,3.0 oz,--,g,23511
mg,g,85.0,4.55,--,3.87,g,0.00,0.0,20.76,17.65,3.0 oz,--,g,23652
mg,g,8.7,25.97,0,2.26,g,4.87,56.03,12.73,1.11,1.0 scoop,0.0,g,03943
mg,g,145.0,0.29,0,0.42,g,9.66,6.66,10.34,14.99,1.0 cup (not packed),0.0,g,01014
mg,g,120.0,0.34,0,0.41,g,13.67,11.39,2.89,3.47,"1.0 artichoke, medium",0.0,g,11702
mg,g,70.0,13.77,0,9.64,g,1.02,1.45,12.81,8.97,1.0 egg,0.0,g,01138
mg,g,134.0,53.95,0,72.29,g,28.21,21.05,20.04,26.85,1.0 cup,0.0,g,12637
mg,g,48.0,1.04,0,0.50,g,23.57,49.1,8.33,4.00,1.0 slice 1 serving,0.0,g,28318
mg,g,85.0,9.37,--,7.96,g,0.00,0.0,28.21,23.98,3.0 oz,--,g,05737
mg,g,46.0,51.46,0,23.67,g,9.20,20.0,20.78,9.56,"1.0 cup, with hulls, edible yield",0.0,g,12036
mg,g,85.0,9.56,--,8.13,g,0.00,0.0,24.99,21.24,3.0 oz,--,g,10034
mg,g,85.0,11.65,--,9.90,g,0.00,0.0,26.11,22.19,3.0 oz,--,g,13965
mg,g,85.0,4.38,--,3.72,g,0.00,0.0,27.37,23.26,3.0 oz,--,g,13426
mg,g,106.0,3.49,0,3.70,g,7.98,7.53,1.71,1.81,1.0 serving 100 ml,0.0,g,03942
mg,g,113.0,4.2,0,4.75,g,3.39,3.0,10.9,12.32,4.0 oz,0.0,g,43273
mg,g,120.0,0.34,0,0.41,g,14.34,11.95,2.89,3.47,"1.0 artichoke, medium",0.0,g,11008
mg,g,144.0,13.27,0,19.11,g,1.94,1.35,13.87,19.97,1.0 egg,0.0,g,01139
mg,g,28.35,50.0,0,14.18,g,7.09,25.0,17.86,5.06,1.0 oz,0.0,g,12738
mg,g,35.0,5.24,0,1.83,g,16.02,45.78,4.31,1.51,1.0 slice,0.0,g,28337
mg,g,85.0,6.84,--,5.81,g,0.00,0.0,19.96,16.97,3.0 oz,--,g,05736
mg,g,128.0,49.8,0,63.74,g,30.81,24.07,19.33,24.74,1.0 cup,0.0,g,12537
mg,g,85.0,12.14,--,10.32,g,0.00,0.0,26.38,22.42,3.0 oz,--,g,10120
mg,g,85.0,8.0,--,6.80,g,0.00,0.0,26.16,22.24,3.0 oz,--,g,13967
mg,g,85.0,3.35,--,2.85,g,0.00,0.0,21.38,18.17,3.0 oz,--,g,23653
mg,g,30.8,3.8,0,1.17,g,2.28,7.4,2.0,0.62,1.0 fl oz,0.0,g,03955
mg,g,14.5,34.44,0,4.99,g,0.80,5.52,6.15,0.89,1.0 tbsp,0.0,g,01017
mg,g,168.0,0.5,0,0.84,g,15.42,9.18,3.11,5.22,1.0 cup,0.0,g,11703
mg,g,9.0,11.09,0,1.00,g,0.04,0.41,13.05,1.17,1.0 egg,0.0,g,01140
mg,g,144.0,56.17,0,80.88,g,32.07,22.27,15.52,22.35,1.0 cup,0.0,g,12638
mg,g,28.35,3.5,0,0.99,g,14.20,50.1,8.8,2.49,1.0 oz,0.0,g,18033
mg,g,28.0,6.52,--,1.83,g,0.00,0.0,28.61,8.01,3.0 oz,--,g,05723
mg,g,128.0,49.8,0,63.74,g,30.81,24.07,19.33,24.74,1.0 cup,0.0,g,12037
mg,g,85.0,6.74,0,5.73,g,0.76,0.89,26.14,22.22,3.0 oz,0.0,g,10984
